id,sent,softmatch_score,softmatch,soft_svm
24, 人物一 没有 哥哥 人物二 幸运 主演 机会 可谓 十分 难得,0.8300183,1,0
25, 动漫 妹妹 大阪 大妈 中 角色 人物二 妹妹 人物一 一个 外貌 相当 可爱 高中 一年级 学生,0.822579,1,1
31, 国内 教育 体系 钱学森 子女 应该 大学 时 极大 破坏 钱学森 子女 人物二 人物一 没有 得到 堂兄弟 发展 环境,0.81830573,1,1
32, 那年 人物二 岁 妹妹 人物一 岁,0.82689047,1,1
37, 人物二 著名 音乐 人物一 大哥 高中 阶段 一次 全美 联考 中 获得 第一 老布什 接见 来信,0.8195443,1,0
45, 人物一 人物二 之弟 封 赵郡 公 官至 开府 仪同 三司 大将军,0.8527486,1,1
47, 人物二 人物 家庭 韩国 艺人 全智贤 老公 人物一 大哥,0.8167227,1,1
49, 柳 大山 带 三个 收养 孤儿 人物二 焦恩俊 饰 人物一 柳 月 一直 卖艺 为生 生计 艰难 便 回老家,0.8196618,1,0
85, 人物二 金庸 小说 神雕侠侣 中 人物 一灯大师 四大 弟子 渔樵 耕读 耕夫 武三通 之子 母亲 武三娘 兄长 人物一,0.80186516,1,1
94, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
99, 人物 生平 人物一 人物一 武三通 武三娘 生 父母 希望 弟弟 人物二 弃武 从文 涉身 险恶 江湖,0.8820952,1,1
100, 英雄 大会 中 人物二 人物一 明明 以二敌 大败 霍都王子 手下 丢 中原 英雄 脸面,0.84580266,1,0
107, 郭靖 黄蓉 更是 人物一 人物二 郭 芙 面前 缺失 男人 血性 表现 看作 宝贝女儿 疼爱,0.8317557,1,1
112, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
120, 人物二 武三通 武三娘 生 父母 希望 哥哥 人物一 弃武 从文 涉身 险恶 江湖,0.8746227,1,1
121, 人物一 人物二 没有 郭靖 幸运 觉得 运气,0.8332499,1,1
127, 靖 蓉 寻找 黄药师 巧遇 武三通 之子 人物一 人物二 杨康之 子 杨过,0.8936751,1,0
129, 杨过 从华山 下来 英雄 大会 途中 破庙 见到 人物一 神色 剽悍 举手投足 之间 精神 十足 人物二 轻捷 灵动 东奔西走 没 一刻 安静,0.81740344,1,0
132, 人物一 正写 人物二 回来 文件 一看 大笑 哥 会 写,0.8176966,1,0
143, 人物一 怂恿 张荫桓 出面 打着 繁荣 芜湖 商埠 旗号 人物二 献策 依靠 朝廷 力量 令 镇江 米市 迁至 芜湖,0.8414641,1,1
186, 蜀汉 名将 张飞 之孙 人物一 之子 人物二 侄,0.82357305,1,1
234, 罗焕 人物 简介 隋唐 时期 罗艺 之孙 祖母 姜桂芝 人物一 之子 人物二 侄子,0.8152935,1,1
240, 人物 简介 隋唐 时期 罗艺 之孙 祖母 姜桂芝 人物一 之子 人物二 侄子,0.81078446,1,1
243, 隋唐 时期 罗艺 之孙 祖母 姜桂芝 人物一 之子 人物二 侄子 死 薛丁山 征西 儿子 罗平 女儿 罗盈,0.8411364,1,1
272, 反自 祲 祥 宿于 䓕 氏 生 人物二 人物一 于泉 丘人,0.880497,1,1
295, 本集 叙 荆州 刘表 死后 人物一 人物二 伪造 遗嘱 立 次 子刘琮 继任 荆州 太守 曹操 大军 进攻 荆州 人物一 献城 投降,0.8515183,1,1
296, 刘表 后妻 人物一 疑 刘备 时 正在 屏风 窃听 闻备 此言 便 忌恨 备 命弟 人物二 襄阳 设宴 欲 藉 机杀备,0.8316271,1,1
303, 人物一 人物 生平 荆州 刺史 刘表 后妻 刘琮 后母 人物二 之姐,0.85763067,1,1
305, 刘表 死后 人物一 人物二 立 荆州 之主 投降 南下 曹操,0.87376845,1,1
327, 张国强 命令 职业杀手 人物二 杀 邱玉茹 邱玉茹 追杀 时 幸运 得到 人物一 相救 歹徒 仍然 步步进逼 不肯 放过,0.8296767,1,0
346, 导演 人物一 演员 人物二 兄弟 双星 忠 武路 名堂 越 越响 风格 各有千秋 两人 前途 圈内 人士 普遍 看好,0.83411485,1,0
351, 导演 人物一 演员 人物二 兄弟 双星 忠 武路 名堂 越 越响 风格 各有千秋 近来 两人 前途 圈内 人士 普遍 看好,0.83119386,1,0
370, 人物一 中国 古典小说 红楼梦 中 人物 金陵 十二钗 贾政 王夫人 所生 长女 人物二 姐姐 贾府 通称 娘娘,0.810911,1,1
373, 贾政 生 贾珠 人物一 人物二 王夫人 生 贾探春 庶出 贾环 赵姨娘 生,0.8083051,1,1
374, 人物一 薨 逝 王子腾 药 死 贾政 赴任 贾母 王夫人 只得 采纳 凤姐 掉包 计 成全 人物二 薛宝钗 金玉 姻缘,0.88169146,1,1
379, 人物一 一手 抚养 亲 弟弟 人物二 一个 未成年 孩子 人物一 没有 传命 只能 站 室外 所谓 无谕 外 男 不敢 擅入,0.84221727,1,1
435, 年 古天乐 版 神雕侠侣 中 人物一 却成 陆无双 爹 何沅君 成 陆无双 娘 人物二 陆二娘 均 未 提及,0.83308554,1,0
436, 象山 影视城 陆家庄 陆家庄 神雕 中是 人物一 人物二 两 兄弟 庄院 小说 第一回 中 写道 故事情节 这府院 发生,0.8136085,1,1
439, 两 人均 想 人物二 藉藉无名 兄长 人物一 何沅君 夫妇 却侠 名震于 江湖 嘉兴 陆家庄 名头 武林中 向来 无人 小觑,0.8470885,1,1
441, 年 古天乐 版 年 陈晓 版 神雕侠侣 中 人物一 却成 陆无双 爹 人物二 人物 未 提及,0.8082978,1,0
442, 陆家庄 陆家庄 神雕 中是 人物一 人物二 两 兄弟 庄院 小说 第一回 中 写道 故事情节 这府院 发生,0.81531197,1,1
452, 舅父 人物一 想 抓 黄蓉 雌雕 失手 摔死 铁掌 峰下 人物二 铁掌 水上 飘 慈恩 金轮法王 恶斗 终于 伤 掌下 死,0.84115785,1,1
461, 人物二 出身 平民 家庭 一个 重组 家庭 里 长大 十四岁 时 母亲 继父 遇 车祸 去世 继父 儿子 人物一 勉强 算作 一个 亲人,0.8148828,1,1
464, 人物二 夜店 偶遇 一个 女人 留下 深刻 印象 后来 得知 女人 竟是 人物一 前女友 伍媚 莫小棋 饰演,0.81493664,1,1
465, 人物二 伍媚 挡 中间 有小曦 一个 深深 爱着 伍媚 人物一,0.85930157,1,1
466, 人物一 电视剧 北京 爱情故事 中 角色 人物二 哥哥 事业心 强 深爱 伍媚 这部 电视剧 里 悲剧 一个 人物,0.81045175,1,1
468, 伍媚 回国 结婚 丈夫 一个 人物一 性格 相貌 略 相同 一点 人物二 发现,0.83163595,1,1
474, 斗眼 潘斌龙 饰 追捕 电视剧 职员表 出品人 人物一 人物二,0.8010341,1,0
477, 华谊 众多 明星 工作人员 两人 不少圈 中 好友 包括 大小 王总 华谊 总裁 人物一 人物二 冯小刚 导演 王菲 到场 祝贺,0.83058316,1,0
480, 华谊 广告 注册资本 万元 中 人物一 出资 万元 占 人物二 出资 万元 占 马云 持有 股权,0.82173467,1,0
486, 哥哥 人物一 游走 艺术 生活 之间 商业 大亨 弟弟 人物二 一个 温柔 懂得 品味 生活 顾家 男人,0.81028277,1,1
505, 文章 人物一 太后 兴师 质问 朱允 朱允大怒 欲 斩 人物二 众人 只好 跪地 求情,0.8456884,1,1
513, 最后 一段 更是 直接 说明 在场 多人 中 女主 人物一 真的 霍去病 生死 痛苦 焦虑 指明 人物二 外甥 生死 无动于衷,0.8094378,1,1
521, 人物一 角色 介绍 御兽 王者 第二部 中 出现 人物 宇文 锦辰 二 儿子 哥哥 宇文 弟弟 人物二 帅哥,0.8196842,1,1
543, 人物一 女 岁 国产 游戏 古剑 奇谭 琴心 剑魄 今何在 中 配角 人物二 二姐,0.85606724,1,1
544, 人物二 十分 爱护 教导 严厉 生活 中 扮演着 类似 母 人物一 张,0.8602251,1,1
582, 人物一 一生 没有 子女 一直 人物二 子女 当成 亲生,0.8652675,1,1
587, 弟弟 人物二 相比 人物一 一生 谈不上 成就 能够 弟弟 事业 付出 一个 值得 怀念,0.854495,1,1
591, 人物一 人物二 带 进入 时光隧道 听 听 兄弟俩 小时候 童音 猜猜,0.81923527,1,1
606, 良久 微弱 干哑 声音 人物一 苍白 唇 片中 传来 努力 振作起来 吃力 人物二 笑了笑 白色 加长 劳斯莱斯 车 走,0.812998,1,1
628, 九子 长子 广成 次子 人物一 三子 傅宁 四子 傅文 五 子 傅宽 六子 傅新 七子 傅玉 八子 傅谦 九 子 人物二,0.82250506,1,1
655, 两口 相差 半载 年纪 人物二 秀雅 文静 人物一 却是 十分 活泼 两个 性格 截然不同,0.83068776,1,1
659, 少年 发誓 决计 不会 姑姑 独守 十六年 寂寞 李莫愁 闲身 空恨 不会 人物二 人物一 苦熬 年华,0.83982825,1,0
663, 性情 内敛 武功 中 表妹 人物一 武功 低微 牙 尖嘴利 往往 自不量力 惹事生非 得罪人 人物二 收场,0.8588093,1,1
666, 到来 会 杨过 小龙女 带来 改变 人物一 人物二 薄命 红颜 命运 是否 会 改变 下去 知道,0.8017928,1,0
671, 人物二 听 这话 不禁 生气 挂念 杨过 无意 争 闲气 示意 人物一 找 杨过,0.83254457,1,0
672, 小龙女 经历 是否 会 不同 人物二 人物一 是否 还会 孤独 一生,0.837919,1,0
673, 李莫愁 於 绝情谷 身中 情花 之毒 武氏兄弟 人物二 人物一 围攻 最终 葬身 於 火海 之中,0.8560035,1,1
675, 人物一 最后 归宿 人物二 寻回 儿时 玩伴 表姊 自小 便 三分 表姊 真心 维护 能力 做,0.84636897,1,1
679, 杨过 告别 人物一 人物二 后于 山岭 间 信步而行 时 无意 中 遇到 金轮法王 师徒 一行 帮 疗伤 杨过 要求 国师 帮 报仇,0.8375998,1,0
689, 遇到 柯镇恶 之后 一定 马上 嘉兴 人物二 人物一 住所 旁边 民房 里面 找段 老 中间 不要 做 段 老将 过世,0.8086738,1,0
694, 不想 改变 南帝 变 东邪 变 郭靖 变 黄蓉变 杨过 变 小龙女 变 人物二 变 人物一 变,0.80044454,1,0
702, 人物二 炎帝 神农 洞 月 幽之境 中 守护 梭罗 仙树 梭罗树 仙 人物一 孪生 姐姐,0.80978733,1,1
709, 人物二 人物 简介 人物二 炎帝 神农 洞 月 幽之境 中 守护 梭罗 仙树 梭罗树 仙 人物一 孪生 姐姐,0.8071165,1,1
710, 人物一 仙剑 奇侠传 剧情 人物 炎帝 神农 洞 月 幽之境 中 守护 梭罗 仙树 梭罗树 仙 人物二 孪生 妹妹,0.8022674,1,1
711, 人物二 见 人物一 决心 告诉 众人 线索,0.8592011,1,0
717, 婚礼 派对 中午 一直 开 下午 点 据知 人物二 场内 献唱 多首 感人 歌曲 更 上台 讲到 人物一 姐弟 情 一度 感动 泪 洒 当场,0.82272315,1,0
725, 人物二 一听 妹妹 不认账 气得 抓起 桌上 酒杯 人物一 砸 过去 老鼠 想 咬,0.848729,1,1
729, 六月 封 人物二 皇后 封 人物一 为昭仪 大赦天下,0.86269957,1,1
730, 人物二 人物一 责任 坏 女人 主要 责任 君王 身上,0.8405756,1,1
731, 人物 亦念子 帝姬 刘骜 人物二 人物一 甄宓 曹丕 曹植 曹操 李隆基 杨玉环,0.843351,1,1
738, 后来 听说 一个 妹妹 人物一 长得 非常 漂亮 温柔 多情 人物二 自愧不如 便 下令 招入 宫中 姐妹 俱为 婕妤 贵倾 后宫,0.8402154,1,1
745, 人物二 听 妹妹 诉说 感动 眼泪 直流 头上 紫玉九雏钗 取下 簪 人物一 发髻,0.8604675,1,1
759, 燕赤凤 汉书 中 人物二 人物一 两姐妹 汉书 有云 自鸿嘉后 稍 隆于 宠,0.8640537,1,1
776, 竟 穿越 汉朝 成 祸水 人物一 姐姐 人物二 争抢 同一个 同一个 男人 究竟 发生,0.85051584,1,1
779, 说 麝香 放入 妓女 肚脐 避孕 堪称 中国 红颜 祸水 人物二 人物一 两 姊妹 记载 采取 避孕措施,0.8202682,1,1
785, 后来 听说 一个 妹妹 人物一 长得 非常 漂亮 温柔 妩媚 人物二 自愧不如 便 下令 招入 宫中 姐妹 俱为 婕妤 贵倾 后宫,0.8405347,1,1
804, 人物二 成为 皇后 获得 女人 显赫 地位 成帝 宠爱 渐渐 以往 成帝 更为 宠爱 妹妹 人物一,0.8804495,1,1
811, 人物二 大方 不像 女人 争风吃醋 可能 有福同享 可能 加强 阵营 妹妹 人物一 介绍 进来 供 成帝 享用,0.85042083,1,1
818, 后来 人物二 人物一 姐妹 入宫 受宠 十分 嫉妒 班婕 汉成帝 心目 中 地位 便 设计 陷害 班婕,0.86717534,1,1
827, 竟 穿越 汉朝 成 臭名昭著 祸水 人物一 姐姐 人物二 争抢 同一个 男人 究竟 发生,0.8535485,1,1
832, 郭槐 过世 人物二 不能 遵其 遗言 赵粲 人物一 往来 更 谋杀 司马遹 终 於 导致 贾家 败亡 废 下场,0.85213256,1,1
838, 岁 嫁给 贾充 作 继室 生二女 二子 长女 名 人物二 次女 人物一 子 名为 贾黎 民,0.8632277,1,1
839, 嗣 孙 贾谧 贾充 外孙 母 人物一 贾充 无子嗣 而入 嗣 官至 侍中 人物二 合谋 赵王 司马伦 杀害,0.86976206,1,1
852, 主要 介绍 现代 著名作家 人物二 弟弟 人物一 先生 亲历 亲闻 特殊 身份 回忆 姐姐 人物二 家庭 生活 经历 接触 人和事,0.830353,1,1
853, 人物二 弟弟 文章 附 中 看出 人物一 一生 父不疼 母不爱 姐不亲 姑不怜,0.8850403,1,1
867, 雪飘 人间 雪飘 二字 取自 女儿 人物二 二女儿 人物一 名字 中 两个 字,0.83260703,1,1
873, 人物二 接二连三 吃 闭门羹 最后 不得不 论落 人物一 小雨 借钱 地步 两个 弟弟 缠 买 买,0.82986814,1,1
875, 家人 夏东海 丈夫 人物一 夏雨 儿子 人物二 女儿 胡一统 前夫,0.8476063,1,1
881, 父亲 教育 人物二 人物一 夏雨 一起 认真 母亲 刘梅 洗 一回 脚,0.8231989,1,1
882, 亲人 夏祥 父亲 范晓 英 岳母 刘梅 现任 老婆 玛丽 前妻 人物一 夏雨 儿子 人物二 女儿,0.8441431,1,1
884, 亲人 夏祥 父亲 刘梅 现任 老婆 玛丽 前妻 人物一 夏雨 儿子 人物二 女儿,0.8437498,1,1
888, 谓 称 梅梅 夏东海 妈妈 妈 人物一 夏雨 人物二 刘梅 阿姨 通用,0.809133,1,1
893, 东海 刘梅 人物一 人物二 做戏 没有 阻拦 夸 二人 演得,0.831309,1,1
897, 刘梅 儿子 人物一 座位 最后 一排 夏雨 中间 人物二 座位 还算 前 老师 说 人物二 成绩 稳定 座位 跟着 成绩 调整,0.81685066,1,1
899, 人物二 拿不定 主意 拿出 义卖 人物一 夏雨 刺探 半天 没有 收获,0.8275069,1,1
904, 人物一 人物二 不可开交 夏雨 铁蛋 身上 看到 团结 反面教材 互相承认 错误,0.8171658,1,1
905, 刘梅 人际关系 家人 夏东海 丈夫 人物一 夏雨 儿子 人物二 女儿 胡一统 前夫,0.84159976,1,1
906, 谓 称 叔叔 老夏 通用 夏东海 刘梅 玛丽 爸爸 爸 老爸 人物二 人物一 夏雨 小哥 加 菲猫 爸爸 刘梅,0.8239298,1,1
909, 美丽 不满 穿 校服 人物一 人物二 决定 成立 美丽 二人组 展示 奇装异服 慷慨激扬 行为 愈演愈烈,0.8377515,1,1
910, 儿媳妇 搞清楚 阵势 马上 说 老奶奶 脚肿 面包 已经 送 医院 刘梅 东海 始知 人物一 人物二 祸 闯大,0.8202533,1,1
911, 家有 儿女 讲述 夏东海 夫妇 子女 人物一 夏雨 人物二 一系列 故事,0.84703535,1,1
912, 妙计 没有 成功 最后 人物二 方刚 说明 情况 人物一 遭到 处罚,0.84655464,1,1
916, 人物一 自知 无法 人物二 夏雨 竞争 采取 成绩 拉 下来 做法,0.82790387,1,1
927, 龙幽 临走前 告诉 人物一 蜀山 禁洞 中 遇到 人物二 鬼魂 惦记 妹妹,0.8488447,1,1
930, 人物二 助 龙溟 盗鼎 一事 发生 人物一 姐姐 行为 百思不解 事 藏 心里 面 不再 对人 提起,0.8346844,1,1
933, 面对 归还 神农 鼎 夏侯瑾轩 人物一 询问 是否 真的 没有 见到 姐姐 人物二 瑕 觉得 抱歉,0.8159233,1,1
934, 草谷 觉得 没有 不妥 人物一 不用 人物二 承担,0.8247835,1,1
940, 人物二 发现 人物一 继乐 甚有 好感 自卑心 作遂 决定 继乐 爱意 更加 收藏,0.8505363,1,1
941, 该剧 讲述 水 健儿 游德 离婚 夫妇 带 一个 女儿 人物二 人物一 香港 美国 生活,0.84409255,1,0
946, 事件 中 人物一 看出 人物二 继乐 原来 紧 爱是,0.8614969,1,1
948, 事件 中 人物一 看出 人物二 继乐 原来 幺 紧 爱是 甚 幺,0.8506357,1,1
949, 人物二 人物一 相处 间 经常 斗气 始终 血脉相连 姊妹 情不经 不觉 间 萌芽 起来,0.83734685,1,1
950, 人物二 人物一 相处 间 经常 斗气 始终 血脉相连 姊妹 情不经 不觉 间 萌芽 起来,0.83734685,1,1
955, 人物二 人物一 继乐 微妙 感情 三角 之间 青春 路上 部份 印记 成长 过程 中 阵阵 涟漪,0.82919055,1,1
963, 人物二 人物一 满 岁 时 赌王 于君 悦 酒店 举行 千万 成人礼 生日会,0.8086738,1,0
977, 良久 微弱 干哑 声音 人物二 苍白 唇 片中 传来 努力 振作起来 吃力 人物一 笑了笑 白色 加长 劳斯莱斯 车 走,0.812998,1,1
991, 红楼 二 尤 人物一 红楼 二 尤 人物 介绍 人物一 贾珍 妻 人物二 异母 妹 尤老娘 前夫 生 尤老娘 改嫁 尤家时 随来,0.8543548,1,1
992, 金陵 十二钗 副册 尤三姐 情刚 尤三姐 人物二 继母 带来 女儿 人物一 妹妹,0.81916565,1,1
993, 人物一 贾珍 妻 人物二 异母 妹 尤老娘 前夫 生 尤老娘 改嫁 尤家时 随来,0.85915166,1,1
998, 人物一 人物一 人物二 继母 带来 女儿 红楼梦 中 一个 悲剧性 女性 人物,0.8040895,1,1
999, 人物一 红楼梦 中 人物 贾琏 二房 贾珍 夫人 人物二 继母 带来 女儿,0.83697164,1,1
1001, 金陵 十二 副钗 尤三姐 尤三姐 十二 副钗 人物二 继母 带来 女儿 人物一 妹妹,0.8200105,1,1
1003, 王熙凤 发现 贾琏 偷 娶 人物一 大闹 宁国府 人物二 束手无策 王熙凤 作践 揉搓 成 一个 面团,0.8638244,1,1
1004, 人物一 红楼梦 中 人物 贾珍 太太 人物二 继母 带来 女儿,0.8008641,1,1
1006, 人物一 人物 简介 新版 红楼梦 人物一 人物一 贾珍 妻 人物二 异母 妹 尤老娘 前夫 生 尤老娘 改嫁 尤家时 随来,0.88092864,1,1
1007, 金陵 十二钗 副册 人物一 情悔 人物一 人物二 继母 带来 女儿 红楼梦 中 一个 悲剧性 女性 人物,0.81841284,1,1
1011, 人物一 人物 介绍 人物一 贾珍 妻 人物二 异母 妹 尤老娘 前夫 生 尤老娘 改嫁 尤家时 随来,0.87063336,1,1
1012, 虎狼 药 危害 虎狼 药 孕妇 禁用 虎狼 药 人物一 流产 说起 人物一 红楼梦 中 人物 人物二 继母 前夫 带 过来 女儿,0.8418807,1,1
1016, 红楼梦 中 尤老娘 人物一 尤三姐 之母 宁国府 当家 奶奶 人物二 继母 一个 看似 极 不起眼 小人物,0.8367534,1,1
1017, 贾珍 贾琏 娶 人物一 做 二房 之意 告诉 人物二,0.8932579,1,1
1019, 人物一 人物 介绍 人物一 贾珍 妻 人物二 异母 妹 尤老娘 前夫 生 尤老娘 改嫁 尤家时 随来,0.87063336,1,1
1023, 宋缺 人物 介绍 家庭成员 二弟 宋智 族弟 宋鲁 长女 人物二 女婿 解 文龙 幼女 宋玉致 女婿 寇仲 次子 人物一 儿媳 商秀珣,0.83116555,1,1
1037, 第三十一回 人物一 怒 投 瓦岗寨 程咬金 喜纳 人物二 第三十二回 王世充 避祸 画 琼花 麻叔谋 开河 扰 百姓,0.8465365,1,1
1039, 隋末 程咬金 聚义 瓦岗寨 收服 小将 人物一 军师 徐茂 公的 巧计 安排 程咬金 充 良医 骗 笔迹 诓 人物二 上山 成亲,0.831073,1,1
1040, 固伦纯禧 公主 固伦荣宪 公主 和硕端静公主 固伦 恪靖 公主 固伦纯 悫 公主 人物二 人物一,0.82234555,1,1
1047, 海宽 女 生 爱新觉罗 胤 祥 人物二 人物一,0.86857027,1,1
1055, 女 人物二 双胞胎 妹妹 人物一 团队 中国 女子 羽毛球队,0.8421987,1,1
1069, 两人育 岁 女儿 人物二 岁 小女儿 人物一,0.8302964,1,1
1070, 家庭成员 爸 妈 一兄 一妹 太太 罗美薇 两个 女儿 女儿 人物二 二女儿 人物一,0.81902415,1,1
1071, 张学友 家庭成员 爸 妈 一兄 一妹 太太 罗美薇 两个 女儿 女儿 人物二 二女儿 人物一,0.8208819,1,1
1072, 人物二 家庭成员 爸 妈 一兄 一妹 太太 罗美薇 两个 女儿 女儿 人物二 二女儿 人物一,0.8469319,1,1
1073, 家庭成员 爸 妈 一兄 一妹 太太 罗美薇 两个 女儿 女儿 人物二 二女儿 人物一,0.81902415,1,1
1074, 现时 二人 育有 两个 女儿 女儿 人物二 小女儿 人物一,0.8119967,1,1
1081, 周末 全家 郊游 出去 两人 一辆 双人 自行车 人物一 人物二 走 最后 他姐 问起 文姨 全家 事情 知道 每个 细节,0.808721,1,1
1099, 齐僖公 生 两个 貌美如花 风华绝代 女儿 长女 人物二 次女 人物一,0.8222376,1,1
1116, 年 人物二 妹妹 人物一 合作 电视剧 自由 年代 中 饰演 男一号 流川 刘杉 峰,0.8236226,1,1
1121, 人物一 十分 爱护 教导 严厉 生活 中 扮演着 类似 母 人物二 张,0.8602251,1,1
1122, 人物二 不愿 人物一 襄铃有 纠缠 便 请求 孙月言 嫁给 人物一 二人 风晴雪 商议 之下 决定 抛绣球 招亲,0.86060953,1,1
1123, 人物二 女 岁 国产 游戏 古剑 奇谭 琴心 剑魄 今何在 中 配角 人物一 二姐,0.8560672,1,1
1127, 人物一 人物 经历 邢大舅 投奔 人物二 知以 吃酒 赌钱 眠花宿柳 为乐 手中 滥漫 钱 待人 无心 呆气 十足 人称 傻 大舅,0.8424596,1,1
1131, 爸爸 回家 做 功课 作者简介 欧阳龙 深情 顾家 天蝎座 欧阳妮妮 岁 人物二 岁 人物一 岁 爸爸,0.826995,1,0
1138, 家庭 人物 女儿 四姐妹 人物二 人物一 牧野晶 牧野冬,0.8170957,1,1
1153, 封 人物二 敬贤妃 封 金碧瑶 英德 妃 人物一 李选侍,0.86989135,1,1
1154, 封 人物二 静贤妃 封 金碧瑶 英德 妃 人物一 李选侍,0.8701497,1,1
1158, 几日 姚芊芊 终 被选为 正妃 内心 十分 痛苦 挣扎 人物二 人物一 金碧瑶 当上 侧妃 各怀 想法,0.84407336,1,1
1161, 爸爸 回家 做 功课 作者简介 欧阳龙 深情 顾家 天蝎座 人物二 岁 欧阳娜娜 岁 人物一 岁 爸爸,0.8259773,1,0
1168, 刘皇后 结发 之妻 正室 生 嫡长子 李宪 追 谥 皇帝 人物二 代国 公主 人物一 婉 武则天 勒令 处死 追 谥 肃明 顺圣 皇后,0.8684085,1,1
1193, 人物一 人物二 碰巧 发现 教室 里 隐身人 想 知道 隐身人 秘密,0.84139746,1,1
1194, 人物二 鲍尔 历险记 人物 介绍 人物一 学习成绩 不高 学校 老师 喜欢 那种 乖孩子 心地善良 正义 勇敢 身上 故事,0.8037168,1,1
1204, 时间 一分一秒 流逝 打开 锁 人物二 笑容 永远 找 回来 人物一 朋友 永远 锁 锁国 里,0.8043799,1,0
1205, 今天 中国 大陆 岁 很少 知道 笔下 人物一 人物二 舒克和贝塔,0.8492266,1,0
1210, 笔下 人物一 人物二 罗克 舒克和贝塔 影响 中国 两代 孩子,0.81652385,1,1
1211, 人物一 肥皂 订书机 内容梗概 经历 丰富 登峰造极 人物二 这回 感到 吃惊 肥皂 做 这架 订书机 竟然 随意 装订 历史,0.8311537,1,1
1216, 说 年代 出生 郑渊洁 有着 别样 感情 人物一 人物二 童话 形象 曾经 滋养 幼时 心灵,0.81533843,1,0
