id,rule,frequency
0,年 人物二 人物一,55
1,人物一 人物一 人物二,39
2,人物二 人物一 人物二,36
3,人物二 弟子 人物一,34
4,人物一 人物二 人物二,30
5,年 月 人物二,30
6,人物二 人物二 人物一,29
7,年 人物一 人物二,29
8,人物一 人物二 人物一,28
9,人物二 人物一 人物一,25
10,人物二 弟弟 人物一,25
11,年 月 人物一,25
12,月 人物二 人物一,25
13,人物一 人物二 徒弟,21
14,人物二 徒弟 人物一,21
15,月 日 人物二,20
16,年 月 人物二 人物一,19
17,人物二 沈阳 人物一,17
18,年 月 日,17
19,相声 人物一 人物二,17
20,中 人物二 人物一,16
21,人物二 人物一 兄弟,16
22,人物二 人物一 说,16
23,人物一 人物二 弟子,15
24,人物一 年 人物二,15
25,人物二 中 人物一,15
26,月 日 人物一,15
27,相声 人物一 已故,15
28,相声 姜昆 人物二,15
29,相声 姜昆 已故,15
30,孟懿子 人物一 人物二,14
31,年 日 人物二,14
32,年 月 日 人物二,14
33,人物一 人物 人物二,13
34,人物一 人物一 人物一,13
35,人物一 兄长 人物二,13
36,人物二 人物一 年,13
37,人物二 刘宝瑞 人物一,13
38,中 人物一 人物二,12
39,人物 人物二 人物一,12
40,人物一 人物二 一起,12
41,人物一 人物二 妹妹,12
42,人物一 人物二 已故,12
43,人物一 人物二 弟弟,12
44,人物一 哥哥 人物二,12
45,人物二 郭启儒 人物一,12
46,人物二 集 人物一,12
47,儿子 人物二 人物一,12
48,姜昆 人物二 已故,12
49,相声 人物一 人物二 已故,12
50,相声 人物二 已故,12
51,相声 姜昆 人物二 已故,12
52,表演者 人物二 人物一,12
53,人物一 年 月,11
54,召唤 人物二 人物一,11
55,日 人物二 人物一,11
56,月 人物一 人物二,11
57,月 日 人物二 人物一,11
58,相声 冯巩 人物二,11
59,相声 冯巩 已故,11
60,相声 唐杰忠 人物二,11
61,相声 唐杰忠 已故,11
62,主要 人物二 人物一,10
63,人物一 人物二 年,10
64,人物二 人物一 冯巩,10
65,人物二 人物一 封神,10
66,人物二 收 人物一,10
67,冯巩 姜昆 人物二,10
68,当时 人物二 人物一,10
69,人物一 人物二 中,9
70,人物一 人物二 族弟,9
71,人物一 人物二 老师,9
72,人物一 师从 人物二,9
73,人物一 年 日,9
74,人物一 年 月 日,9
75,人物一 月 日,9
76,人物二 人物一 主演,9
77,人物二 人物一 相声,9
78,人物二 赵炎 人物一,9
79,召唤 主要 人物二,9
80,孟僖子 孟懿子 人物一,9
81,年 日 人物一,9
82,年 月 日 人物一,9
83,杨开慧 人物二 人物一,9
84,相声 人物二 人物一,9
85,中 人物 人物一,8
86,人物一 二人转 人物二,8
87,人物一 人物一 人物一 人物二,8
88,人物一 人物二 封神,8
89,人物一 姜昆 人物二,8
90,人物一 姜昆 侯耀文,8
91,人物一 姜昆 已故,8
92,人物一 姜昆 石富宽,8
93,人物一 姜昆 石富宽 人物二,8
94,人物一 姜昆 石富宽 已故,8
95,人物一 徒弟 人物一,8
96,人物一 石富宽 人物二,8
97,人物一 石富宽 已故,8
98,人物二 人物一 下山,8
99,人物二 人物一 两人,8
100,人物二 人物一 合作,8
101,人物二 人物一 姜昆,8
102,人物二 人物一 封神榜,8
103,人物二 人物一 沈阳,8
104,人物二 人物一 礼乐,8
105,人物二 宋小宝 人物一,8
106,人物二 徒弟 人物一 年,8
107,人物二 徒弟 年,8
108,人物二 执导 人物一,8
109,人物二 时 人物一,8
110,人物二 赵炎 冯巩,8
111,冯巩 人物一 人物二,8
112,冯巩 人物二 已故,8
113,冯巩 唐杰忠 人物二,8
114,冯巩 唐杰忠 已故,8
115,冯巩 姜昆 唐杰忠,8
116,冯巩 姜昆 唐杰忠 人物二,8
117,冯巩 姜昆 唐杰忠 已故,8
118,冯巩 姜昆 已故,8
119,冯巩 李国盛 人物二,8
120,冯巩 李国盛 已故,8
121,冯巩 笑林 人物二,8
122,冯巩 笑林 已故,8
123,冯巩 笑林 李国盛,8
124,冯巩 笑林 李国盛 人物二,8
125,冯巩 笑林 李国盛 已故,8
126,召唤 李子 人物二,8
127,唐杰忠 人物二 已故,8
128,姜昆 人物一 人物二,8
129,姜昆 唐杰忠 人物二,8
130,姜昆 唐杰忠 已故,8
131,姜昆 石富宽 人物二,8
132,姜昆 石富宽 已故,8
133,孟僖子 人物一 人物二,8
134,孟僖子 孟懿子 人物一 人物二,8
135,孟僖子 孟懿子 人物二,8
136,年 人物二 徒弟,8
137,年 孟懿子 人物一,8
138,年 孟懿子 人物一 人物二,8
139,年 孟懿子 人物二,8
140,年 月 人物一 人物二,8
141,徒弟 人物一 年,8
142,拜师 人物二 人物一,8
143,演员 人物二 人物一,8
144,相声 人物一 侯耀文,8
145,相声 人物一 冯巩,8
146,相声 人物一 姜昆,8
147,相声 人物一 姜昆 人物二,8
148,相声 人物一 姜昆 侯耀文,8
149,相声 人物一 姜昆 已故,8
150,相声 人物一 姜昆 石富宽,8
151,相声 人物一 姜昆 石富宽 人物二,8
152,相声 人物一 姜昆 石富宽 已故,8
153,相声 人物一 石富宽,8
154,相声 人物一 石富宽 人物二,8
155,相声 人物一 石富宽 已故,8
156,相声 冯巩 人物一,8
157,相声 冯巩 人物二 已故,8
158,相声 冯巩 唐杰忠,8
159,相声 冯巩 唐杰忠 人物二,8
160,相声 冯巩 唐杰忠 已故,8
161,相声 冯巩 姜昆,8
162,相声 冯巩 姜昆 人物二,8
163,相声 冯巩 姜昆 唐杰忠,8
164,相声 冯巩 姜昆 唐杰忠 人物二,8
165,相声 冯巩 姜昆 唐杰忠 已故,8
166,相声 冯巩 姜昆 已故,8
167,相声 冯巩 李国盛,8
168,相声 冯巩 李国盛 人物二,8
169,相声 冯巩 李国盛 已故,8
170,相声 冯巩 笑林,8
171,相声 冯巩 笑林 人物二,8
172,相声 冯巩 笑林 已故,8
173,相声 冯巩 笑林 李国盛,8
174,相声 冯巩 笑林 李国盛 人物二,8
175,相声 冯巩 笑林 李国盛 已故,8
176,相声 唐杰忠 人物二 已故,8
177,相声 姜昆 侯耀文,8
178,相声 姜昆 唐杰忠,8
179,相声 姜昆 唐杰忠 人物二,8
180,相声 姜昆 唐杰忠 已故,8
181,相声 姜昆 石富宽,8
182,相声 姜昆 石富宽 人物二,8
183,相声 姜昆 石富宽 已故,8
184,相声 已故 人物二,8
185,相声 李国盛 人物二,8
186,相声 李国盛 已故,8
187,相声 石富宽 人物二,8
188,相声 石富宽 已故,8
189,相声 笑林 人物二,8
190,相声 笑林 已故,8
191,相声 笑林 李国盛,8
192,相声 笑林 李国盛 人物二,8
193,相声 笑林 李国盛 已故,8
194,相声 赵炎 人物二,8
195,相声 赵炎 侯耀文,8
196,相声 赵炎 已故,8
197,笑林 李国盛 人物二,8
198,笑林 李国盛 已故,8
199,长子 人物二 人物一,8
